Лотерейный билет|Предмет. При использовании бросаешь монетку на следующие исходы: Крутишь Колесо Добра или получаешь плюс 3 очка.
Подарок|Предмет. При использовании получаешь Монетковый Лутбокс и крутишь одно бесплатное Колесо добра.
Осколок кубика|Хлам. Предмет. Кусок старого кубика с двумя гранями, на которых давно стерлись цифры. Не делает ничего. У Хоста можно обменять три Осколка на дополнительный d4-кубик, четыре Осколка на дополнительный d6-кубик, пять Осколков на дополнительный d8-кубик для броска на ход.
Кофе|Съедобный Предмет. При использовании получаешь плюс 2 очка и один дополнительный d4-кубик для броска на ход.
Роза|Предмет. При использовании идешь на одну клетку вперед и получаешь дополнительный d6-кубик для броска на ход.
Торт|Предмет. При использовании идешь на одну клетку вперед и получаешь дополнительный d10-кубик для броска на ход.
о̕͟͝͏̵̷̀ш̴̸̕͢͢͡҉̸и̷̵̴̛̕̕͢͡б͏̢̛́̀͜͜͝к̸̸̵̀̕͢͞͞а͏̶̴̨̀͝͝͞|Предмет. При использовании роллишь число из сотни на твой выбор. Например, от 1 до 100, от 101 до 200, от 201 до 300 и т.д. до 3200. Какое число выпало, такой пункт Колеса добра и выполняешь.
Снежок|Предмет. При использовании двигаешь любого другого стримера на свой выбор на одну клетку назад или на одну клетку вперед. Жертва также получает минус очко если передвинулась вперед и плюс очко если передвинулась назад.
Хрен|Съедобный Предмет. При использовании получаешь минус 2 очка и идешь на одну клетку назад.
Курица|Съедобный Предмет. При использовании превращает любой Спецролл в твоем инвентаре в Катающееся Яйцо.
Перчик|Съедобный Предмет. При использовании бросаешь кубик d4, получаешь столько минус очков сколько выпало на кубике и крутишь столько же бесплатных Колес добра.
Ананас|Съедобный Предмет. При использовании получаешь плюс 3 очка и идешь на одну клетку назад.
Морковка|Съедобный Предмет. При использовании получаешь плюс очко. Затем бросаешь монетку на получение еще одного плюс очка или ничего до тех пор пока не прокнет «ничего».
Легендарная Морковка|Съедобный Предмет. При использовании получи столько плюс очков на каком месте ты сейчас находишься в лидерборде.
Огурец|Съедобный Предмет. При использовании ты обращаешься к силе Земли и осуществляешь Землетрясение: Относится только к стримерам, находящимся в онлайне, включая тебя. Стримеры, находящиеся на нечетных клетках, передвигаются на одну клетку назад. Стримеры, находящиеся на четных клетках, передвигаются на одну клетку вперед. Стримеры, которые находятся на клетках без номера идут на одну клетку назад. На клетке с кубиками, кубики бросаются как обычно. Также все стримеры в онлайне получают по минус очку кроме тебя.
Легендарный Огурец Оляши|Съедобный Предмет. При использовании брось кубик d8 для каждого стримера, который сейчас онлайн. Сколько выпало на кубике - на столько клеток по карте передвигается стример. Направление движения (вперед или назад) стримера за тобой. Последовательность действий: выбор стримера → бросание кубика → выбранный стример передвигается. Затем брось кубик d4 для каждого стримера, который сейчас оффлайн. Сколько выпало на кубике - на столько клеток по карте передвигается стример. Направление движения (вперед или назад) стримера за тобой. Последовательность действий: выбор стримера → бросание кубика → выбранный стример передвигается. Для себя самого брось кубик d12 и передвинься вперед или назад по своему желанию.
Кабачок|Съедобный Предмет. При использовании бросаешь монетку на вперед или назад. После этого все стримеры в онлайне, включая тебя, идут на одну клетку в сторону, выпавшую на монетке, а также получают минус очко (кроме тебя).
Лук|Съедобный Предмет. При использовании добавляет 20 Слез.
